Timestamp, Data Source, Data, Display Value, Raw Value
2016-11-28T17:19:23Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-28T17:19:24Z, GPS, Latitude, 42.3386433115023
2016-11-28T17:19:24Z, GPS, Longitude, -71.0880912027166
2016-11-28T17:19:24Z, GPS, Altitude, 7.42651128768921
2016-11-28T17:19:24Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:25Z, GPS, Latitude, 42.3386421265986
2016-11-28T17:19:25Z, GPS, Longitude, -71.0880895141371
2016-11-28T17:19:25Z, GPS, Altitude, 7.29961442947388
2016-11-28T17:19:25Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:26Z, GPS, Latitude, 42.3386413062806
2016-11-28T17:19:26Z, GPS, Longitude, -71.0880883451205
2016-11-28T17:19:26Z, GPS, Altitude, 7.18018293380737
2016-11-28T17:19:26Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:27Z, GPS, Latitude, 42.3386407383682
2016-11-28T17:19:27Z, GPS, Longitude, -71.0880875358013
2016-11-28T17:19:27Z, GPS, Altitude, 7.06777715682983
2016-11-28T17:19:27Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:28Z, GPS, Latitude, 42.3386403451981
2016-11-28T17:19:28Z, GPS, Longitude, -71.0880869755034
2016-11-28T17:19:28Z, GPS, Altitude, 6.96198415756226
2016-11-28T17:19:28Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:29Z, GPS, Latitude, 42.3386400730034
2016-11-28T17:19:29Z, GPS, Longitude, -71.0880865876049
2016-11-28T17:19:29Z, GPS, Altitude, 6.86241483688354
2016-11-28T17:19:29Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:30Z, GPS, Latitude, 42.3386398845609
2016-11-28T17:19:30Z, GPS, Longitude, -71.0880863190598
2016-11-28T17:19:30Z, GPS, Altitude, 6.7687029838562
2016-11-28T17:19:30Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:31Z, GPS, Latitude, 42.3386397541007
2016-11-28T17:19:31Z, GPS, Longitude, -71.0880861331439
2016-11-28T17:19:31Z, GPS, Altitude, 6.680504322052
2016-11-28T17:19:31Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:32Z, GPS, Latitude, 42.3386396637821
2016-11-28T17:19:32Z, GPS, Longitude, -71.0880860044329
2016-11-28T17:19:32Z, GPS, Altitude, 6.59749412536621
2016-11-28T17:19:32Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:32Z, Acceleration (via User), x, 0.00062218977836892
2016-11-28T17:19:32Z, Acceleration (via User), y, 0.000104177343018819
2016-11-28T17:19:32Z, Acceleration (via User), z, 0.00295159127563238
2016-11-28T17:19:32Z, Attitude, Roll, 0.112013043169986
2016-11-28T17:19:32Z, Attitude, Yaw, -1.17050869951052
2016-11-28T17:19:32Z, Attitude, Pitch, 0.00936639925771569
2016-11-28T17:19:32Z, Magnetometer (corrected for device), x, -27.3689956665039
2016-11-28T17:19:32Z, Magnetometer (corrected for device), y, -27.5411796569824
2016-11-28T17:19:32Z, Magnetometer (corrected for device), z, -28.0567321777344
2016-11-28T17:19:32Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-28T17:19:33Z, GPS, Latitude, 42.3386396012538
2016-11-28T17:19:33Z, GPS, Longitude, -71.0880859153253
2016-11-28T17:19:33Z, GPS, Altitude, 6.51936769485474
