Timestamp, Data Source, Data, Display Value, Raw Value
2016-11-19T19:48:14Z, Attitude, Roll, -0.0372591954044906
2016-11-19T19:48:14Z, Attitude, Yaw, 0.282112922980137
2016-11-19T19:48:14Z, Attitude, Pitch, 0.000865711879006134
2016-11-19T19:48:14Z, Acceleration (via User), x, 0.000522655958775431
2016-11-19T19:48:14Z, Acceleration (via User), y, -0.000309214985463768
2016-11-19T19:48:14Z, Acceleration (via User), z, 0.00452408799901605
2016-11-19T19:48:14Z, Magnetometer (corrected for device), x, -12.0439491271973
2016-11-19T19:48:14Z, Magnetometer (corrected for device), y, 3.76129913330078
2016-11-19T19:48:14Z, Magnetometer (corrected for device), z, -50.3436279296875
2016-11-19T19:48:14Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-19T19:48:16Z, GPS, Latitude, 42.3388602269074
2016-11-19T19:48:16Z, GPS, Longitude, -71.0882488439946
2016-11-19T19:48:16Z, GPS, Altitude, 10.0774345397949
2016-11-19T19:48:16Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:48:23Z, Acceleration (via User), x, -0.00130351551342756
2016-11-19T19:48:23Z, Acceleration (via User), y, 0.00262882350943983
2016-11-19T19:48:23Z, Acceleration (via User), z, 0.00411646999418736
2016-11-19T19:48:23Z, Attitude, Roll, -0.0332485097255483
2016-11-19T19:48:23Z, Attitude, Yaw, 0.259642726117902
2016-11-19T19:48:23Z, Attitude, Pitch, 0.000278969933047805
2016-11-19T19:48:23Z, Magnetometer (corrected for device), x, -14.7585945129395
2016-11-19T19:48:23Z, Magnetometer (corrected for device), y, 7.42407989501953
2016-11-19T19:48:23Z, Magnetometer (corrected for device), z, -53.0774841308594
2016-11-19T19:48:23Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-19T19:48:25Z, GPS, Latitude, 42.3388606086031
2016-11-19T19:48:25Z, GPS, Longitude, -71.0882481918893
2016-11-19T19:48:25Z, GPS, Altitude, 10.0774345397949
2016-11-19T19:48:25Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:48:28Z, GPS, Latitude, 42.3388756478398
2016-11-19T19:48:28Z, GPS, Longitude, -71.0882570820442
2016-11-19T19:48:28Z, GPS, Altitude, 10.0260047912598
2016-11-19T19:48:28Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:48:32Z, Attitude, Roll, -0.0333290944888287
2016-11-19T19:48:32Z, Attitude, Yaw, 0.259714964360051
2016-11-19T19:48:32Z, Attitude, Pitch, 0.000377987712257034
2016-11-19T19:48:32Z, Acceleration (via User), x, -0.000139602445415221
